t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
331.31	3346733	74092	3346733	13585903616	807.7	20	0
332.31	3346733	74092	3346733	13589921792	800.1	20	0
333.32	3346733	74092	3346733	13594161152	807.1	20	0
334.32	3346733	74092	3346733	13598502912	799.7	20	0
335.32	3346733	74637	3346733	13601030144	809.2	20	0
336.33	3346733	74637	3346733	13602369536	807.4	20	0
337.33	3346733	74637	3346733	13604093952	799.9	20	0
338.34	3346733	74637	3346733	13606076416	807.6	20	0
339.34	3346733	74637	3346733	13607469056	799.8	20	0
340.34	3346733	74637	3346733	13609119744	799.7	20	0
341.35	3346733	74637	3346733	13610786816	807.5	20	0
342.35	3346733	74637	3346733	13611634688	799.8	20	0
343.36	3346733	74637	3346733	13613817856	807.7	20	0
344.36	3346733	74637	3346733	13615419392	799.7	20	0
345.36	3346733	74637	3346733	13616549888	799.6	20	0
346.37	3346733	74637	3346733	13618044928	807.5	20	0
347.37	3346733	74637	3346733	13619740672	799.9	20	0
348.38	3346733	74637	3346733	13621166080	807.9	20	0
349.38	3346733	74637	3346733	13623234560	799.8	20	0
350.38	3346733	74637	3346733	13624782848	799.7	20	0
351.39	3346733	74637	3346733	13626605568	807.7	20	0
352.39	3346733	75577	3346733	13628571648	815.4	20	0
353.40	3346733	81556	3346733	13634777088	903.2	20	0
354.40	3346733	87570	3346733	13640916992	912.1	20	0
355.40	3346733	93297	3346733	13647249408	899.8	20	0
356.41	3346733	93297	3346733	13646557184	806.8	20	0
357.41	3346733	93297	3346733	13646782464	799.7	20	0
358.42	3346733	93297	3346733	13646770176	799.6	20	0
359.42	3346733	93297	3346733	13646848000	808.2	20	0
360.42	3346733	93297	3346733	13646725120	799.4	20	0
361.43	3346733	93297	3346733	13646876672	807.5	20	0
362.43	3346733	93297	3346733	13646458880	799.6	20	0
363.44	3346733	93297	3346733	13646843904	799.7	20	0
364.44	3346733	93297	3346733	13647073280	807.5	20	0
365.44	3346733	93297	3346733	13646905344	799.6	20	0
366.45	3346733	93297	3346733	13646385152	807.6	20	0
367.45	3346733	93297	3346733	13646516224	799.9	20	0
368.45	3346733	93297	3346733	13646798848	799.5	20	0
369.46	3346733	93297	3346733	13646520320	807.5	20	0
370.46	3346733	93297	3346733	13646188544	799.9	20	0
371.47	3346733	93297	3346733	13646372864	807.8	20	0
372.47	3346733	93297	3346733	13646733312	799.7	20	0
373.47	3346733	93297	3346733	13646540800	799.8	20	0
374.48	3346733	93297	3346733	13646602240	807.7	20	0
375.48	3346733	93297	3346733	13646336000	799.7	20	0
376.49	3346733	93297	3346733	13646544896	807.6	20	0
377.49	3346733	93297	3346733	13646823424	799.6	20	0
378.49	3346733	93297	3346733	13646495744	799.7	20	0
379.50	3346733	93297	3346733	13646524416	807.5	20	0
380.50	3346733	93297	3346733	13646524416	799.7	20	0
381.51	3346733	93297	3346733	13646811136	807.6	20	0
382.51	3346733	93297	3346733	13646950400	799.8	20	0
