t_s	temp_kb	out_kb	converted_kb	mem_bytes	cpu_pct	pids	fifos
307.22	0	84050	0	9480478720	656.6	26	4
308.22	0	84050	0	9479639040	630.9	26	4
309.23	0	84528	0	9480388608	690.3	26	4
310.23	0	84528	0	9479852032	641.3	26	4
311.23	0	84627	0	9479819264	691.2	26	4
312.24	0	85218	0	9480413184	615.5	26	4
313.24	0	85218	0	9480429568	595.9	26	4
314.25	0	85695	0	9481322496	659.6	26	4
315.25	0	85794	0	9481703424	718.0	26	4
316.25	0	86385	0	9481744384	656.4	26	4
317.26	0	86385	0	9482289152	614.1	26	4
318.26	0	86862	0	9482846208	604.7	26	4
319.27	0	86960	0	9482592256	598.3	26	4
320.27	0	87536	0	9483321344	623.8	26	4
321.27	0	87536	0	9483784192	687.1	26	4
322.28	0	88031	0	9483747328	670.2	26	4
323.28	0	88031	0	9484361728	647.3	26	4
324.29	0	88707	0	9485012992	672.5	26	4
325.29	0	88707	0	9484468224	612.3	26	4
326.29	0	89201	0	9485438976	649.5	26	4
327.30	0	89201	0	9485619200	602.5	26	4
328.30	0	89892	0	9486364672	651.0	26	4
329.31	0	89892	0	9485541376	629.1	26	4
330.31	0	90369	0	9486323712	672.3	26	4
331.31	0	90369	0	9486077952	655.8	26	4
332.32	0	91043	0	9487134720	605.7	26	4
333.32	0	91043	0	9487167488	621.5	26	4
334.33	0	91454	0	9488150528	618.8	26	4
335.33	0	91520	0	9487966208	651.9	26	4
336.33	0	92226	0	9488728064	667.6	26	4
337.34	0	92226	0	9488515072	664.8	26	4
338.34	0	92703	0	9488572416	607.4	26	4
339.35	0	92703	0	9488523264	608.6	26	4
340.35	0	93396	0	9489358848	680.3	26	4
341.35	0	93396	0	9489199104	666.2	26	4
342.36	0	93891	0	9490300928	600.4	26	4
343.36	0	93891	0	9489739776	662.5	26	4
344.37	0	94566	0	9491374080	707.7	26	4
345.37	0	94566	0	9491177472	616.6	26	4
346.37	0	95043	0	9491677184	675.1	26	4
347.38	0	95043	0	9491169280	644.8	26	4
348.38	0	95734	0	9492299776	664.3	26	4
349.38	0	95734	0	9492008960	611.0	26	4
350.39	0	96212	0	9492729856	637.8	26	4
351.39	0	96212	0	9492742144	621.3	26	4
352.40	0	96903	0	9493745664	619.4	26	4
353.40	0	96903	0	9493655552	669.8	26	4
354.40	0	97381	0	9493987328	682.2	26	4
355.41	0	97381	0	9493737472	659.7	26	4
356.41	0	98070	0	9494401024	629.9	26	4
357.42	0	98070	0	9494224896	680.6	26	4
358.42	0	98564	0	9495044096	689.0	26	4
359.42	0	98564	0	9494405120	649.6	26	4
360.43	0	99207	0	9495797760	679.7	26	4
361.43	0	99207	0	9495433216	653.6	26	4
362.44	0	99685	0	9496424448	630.4	26	4
363.44	0	99685	0	9496268800	650.4	26	4
364.44	0	100359	0	9497157632	687.2	26	4
365.45	0	100359	0	9497518080	634.9	26	4
366.45	0	100836	0	9497133056	636.5	26	4
367.46	0	100836	0	9496621056	685.2	26	4
368.46	0	101494	0	9497964544	659.3	26	4
369.46	0	101494	0	9498005504	642.8	26	4
370.47	0	101942	0	9498042368	639.9	26	4
371.47	0	101954	0	9498578944	640.1	26	4
372.48	0	102053	0	9498845184	629.4	26	4
373.48	0	102627	0	9499410432	643.4	26	4
374.48	0	102627	0	9499103232	652.0	26	4
375.49	0	103088	0	9499561984	675.2	26	4
376.49	0	103088	0	9499545600	580.9	26	4
377.50	0	103729	0	9500143616	641.1	26	4
378.50	0	103729	0	9499979776	618.5	26	4
379.50	0	104207	0	9500147712	648.8	26	4
380.51	0	104207	0	9500413952	625.4	26	4
381.51	0	104883	0	9501802496	616.4	26	4
382.52	0	104883	0	9501773824	608.8	26	4
383.52	0	105344	0	9502466048	665.8	26	4
384.52	0	105344	0	9502048256	628.4	26	4
385.53	0	106018	0	9502158848	638.3	26	4
386.53	0	106018	0	9502130176	619.5	26	4
387.54	0	106363	0	9503023104	646.3	26	4
388.54	0	106478	0	9502797824	621.4	26	4
389.54	0	106987	0	9503428608	679.5	26	4
390.55	0	107118	0	9503211520	643.9	26	4
391.55	0	107118	0	9503363072	651.0	26	4
392.56	0	107595	0	9504145408	655.0	26	4
393.56	0	107694	0	9504768000	577.0	26	4
394.56	0	108253	0	9504915456	660.5	26	4
395.57	0	108253	0	9504382976	620.0	26	4
396.57	0	108713	0	9505308672	631.8	26	4
397.58	0	108713	0	9505021952	613.2	26	4
398.58	0	109371	0	9506144256	646.4	26	4
399.58	0	109371	0	9505759232	577.3	26	4
400.59	0	109848	0	9506418688	633.6	26	4
401.59	0	109848	0	9506308096	624.3	26	4
402.59	0	110095	0	9506201600	639.1	26	4
403.60	0	110521	0	9506775040	611.5	26	4
404.60	0	110521	0	9506615296	610.4	26	4
405.61	0	110997	0	9507315712	629.8	26	4
406.61	0	110997	0	9507012608	638.7	26	4
407.61	0	111669	0	9508016128	713.5	26	4
408.62	0	111669	0	9508347904	635.5	26	4
409.62	0	112145	0	9509175296	643.5	26	4
410.63	0	112145	0	9508179968	610.3	26	4
411.63	0	112834	0	9509249024	634.9	26	4
412.63	0	112834	0	9509351424	644.2	26	4
413.64	0	113310	0	9509822464	666.3	26	4
414.64	0	113310	0	9509969920	585.9	26	4
415.65	0	113982	0	9510985728	684.8	26	4
416.65	0	113982	0	9511010304	629.5	26	4
417.66	0	114476	0	9511739392	620.2	26	4
418.66	0	114476	0	9511530496	621.3	26	4
419.66	0	115153	0	9512529920	631.2	26	4
420.67	0	115153	0	9512067072	679.4	26	4
421.67	0	115648	0	9512574976	684.5	26	4
422.68	0	115648	0	9512935424	594.5	26	4
423.68	0	115747	0	9511923712	584.5	26	4
424.68	0	116322	0	9512861696	671.9	26	4
425.69	0	116322	0	9512398848	645.2	26	4
426.69	0	116815	0	9513185280	638.4	26	4
427.70	0	116815	0	9512960000	639.6	26	4
428.70	0	117489	0	9514250240	626.0	26	4
429.71	0	117489	0	9514143744	634.6	26	4
430.71	0	117966	0	9514409984	688.3	26	4
431.71	0	117966	0	9514582016	604.6	26	4
432.72	0	118641	0	9516720128	649.8	26	4
433.72	0	118674	0	9515954176	649.1	26	4
434.73	0	118674	0	9515794432	596.3	26	4
435.73	0	119151	0	9516511232	609.0	26	4
436.73	0	119398	0	9517420544	648.1	26	4
